load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,5,5,-1,-1,-1,-1,min,0,151
25,3,openmrs,CTH,5,5,-1,-1,-1,-1,max,1,30
25,3,openmrs,CTH,5,5,-1,-1,-1,-1,average,0,34
25,3,openmrs,CTH,5,10,-1,-1,-1,-1,min,0,67
25,3,openmrs,CTH,5,10,-1,-1,-1,-1,max,1,45
25,3,openmrs,CTH,5,10,-1,-1,-1,-1,average,0,27
25,3,openmrs,CTH,5,15,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,15,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,15,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,20,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,20,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,20,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,25,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,25,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,25,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,30,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,35,-1,-1,-1,-1,min,0,1
25,3,openmrs,CTH,5,35,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,45,-1,-1,-1,-1,average,0,13
25,3,openmrs,CTH,5,50,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,50,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,50,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,55,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,55,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,55,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,60,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,60,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,70,-1,-1,-1,-1,min,0,1
25,3,openmrs,CTH,5,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,70,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,80,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,80,-1,-1,-1,-1,max,0,1
25,3,openmrs,CTH,5,80,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,85,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,85,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,85,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,90,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,90,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,90,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,5,95,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,5,95,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,5,95,-1,-1,-1,-1,average,0,0
